nhgis0003_ds215_20155_2015_zcta,,
GISJOIN,NAME_E,ADNKE001
GIS Join Match Code,Estimates: Area Name,Estimates: Median household income in the past 12 months (in 2015 inflation-adjusted dollars)
G04015,4015,48586
G04017,4017,55625
G04019,4019,
G04020,4020,38750
G04021,4021,104267
G04022,4022,51375
G04024,4024,66250
G04027,4027,60980
G04029,4029,50321
G04030,4030,63255
G04032,4032,73072
G04037,4037,43988
G04038,4038,72851
G04039,4039,61858
G04040,4040,51150
G04041,4041,43804
G04042,4042,61895
G04043,4043,70920
G04046,4046,68276
G04047,4047,40972
G04048,4048,57850
G04049,4049,60949
G04050,4050,42188
G04051,4051,54931
G04055,4055,58210
G04056,4056,48375
G04057,4057,
G04061,4061,65788
G04062,4062,68255
G04063,4063,
G04064,4064,44659
G04066,4066,90606
G04068,4068,43438
G04069,4069,64934
G04071,4071,71976
G04072,4072,53715
G04073,4073,42929
G04074,4074,78550
G04076,4076,54318
G04079,4079,61987
G04083,4083,51875
G04084,4084,65406
G04085,4085,55813
G04086,4086,62404
G04087,4087,51554
G04088,4088,46333
G04090,4090,57250
G04091,4091,47083
G04092,4092,44588
G04093,4093,64052
G04095,4095,35938
G04096,4096,74397
G04097,4097,89353
G04101,4101,32828
G04102,4102,46171
G04103,4103,56653
G04105,4105,98517
G04106,4106,54648
G04107,4107,101458
G04108,4108,51848
G04109,4109,60547
G04110,4110,114853
G04210,4210,46760
G04216,4216,35313
G04217,4217,50673
G04219,4219,41125
G04220,4220,40402
G04221,4221,44792
G04222,4222,71908
G04224,4224,38387
G04226,4226,48333
G04227,4227,36875
G04228,4228,
G04231,4231,45893
G04234,4234,29152
G04236,4236,64063
G04237,4237,57500
G04238,4238,51510
G04239,4239,55085
G04240,4240,37500
G04250,4250,44782
G04252,4252,55705
G04253,4253,50391
G04254,4254,34405
G04255,4255,61161
G04256,4256,46771
G04257,4257,31620
G04258,4258,65968
G04259,4259,60781
G04260,4260,62449
G04261,4261,46250
G04263,4263,51000
G04265,4265,60909
G04267,4267,
G04268,4268,36451
G04270,4270,39934
G04271,4271,
G04274,4274,65027
G04275,4275,46250
G04276,4276,30200
G04280,4280,55911
G04281,4281,31484
G04282,4282,60467
G04284,4284,59432
G04285,4285,47875
G04286,4286,84821
G04287,4287,51250
G04289,4289,41991
G04290,4290,44444
G04292,4292,39118
G04294,4294,39130
G04330,4330,43174
G04342,4342,58929
G04343,4343,
G04344,4344,30547
G04345,4345,52214
G04346,4346,45896
G04347,4347,48162
G04348,4348,53164
G04349,4349,56801
G04350,4350,57935
G04351,4351,68333
G04352,4352,53917
G04353,4353,47805
G04354,4354,48203
G04355,4355,68750
G04357,4357,54515
G04358,4358,43837
G04359,4359,38618
G04360,4360,46875
G04363,4363,47566
G04364,4364,62718
G04401,4401,40307
G04406,4406,42292
G04408,4408,46563
G04410,4410,41850
G04411,4411,45192
G04412,4412,51944
G04413,4413,43516
G04414,4414,32292
G04415,4415,35938
G04416,4416,38371
G04417,4417,39375
G04418,4418,42500
G04419,4419,55976
G04421,4421,42917
G04422,4422,51000
G04424,4424,31000
G04426,4426,42557
G04427,4427,46161
G04428,4428,50721
G04429,4429,59221
G04430,4430,37713
G04431,4431,46250
G04434,4434,48750
G04435,4435,39697
G04438,4438,38594
G04441,4441,43750
G04442,4442,
G04443,4443,35096
G04444,4444,72520
G04448,4448,38750
G04449,4449,51985
G04450,4450,41293
G04451,4451,27361
G04453,4453,41042
G04454,4454,18125
G04455,4455,48672
G04456,4456,52594
G04457,4457,41438
G04459,4459,28750
G04460,4460,43333
G04461,4461,52136
G04462,4462,31725
G04463,4463,31890
G04464,4464,32734
G04468,4468,33461
G04469,4469,
G04471,4471,39167
G04472,4472,55224
G04473,4473,41702
G04474,4474,55230
G04475,4475,33875
G04476,4476,43359
G04478,4478,37188
G04479,4479,27560
G04481,4481,46071
G04485,4485,45833
G04487,4487,30500
G04488,4488,51458
G04489,4489,76196
G04490,4490,39167
G04491,4491,27500
G04492,4492,27361
G04493,4493,41750
G04495,4495,37137
G04496,4496,55381
G04497,4497,31528
G04530,4530,44101
G04535,4535,60278
G04537,4537,56250
G04538,4538,42366
G04539,4539,55536
G04541,4541,
G04543,4543,45263
G04544,4544,59722
G04547,4547,51938
G04548,4548,49583
G04551,4551,60313
G04553,4553,60966
G04554,4554,42917
G04555,4555,52417
G04556,4556,55208
G04558,4558,
G04562,4562,60962
G04563,4563,46458
G04564,4564,74167
G04568,4568,47083
G04570,4570,
